neg,neg_err,L,p,L_A
0.8547577150621417,0.007953231305703249,400.0,0.9,200.0
0.8906858721713207,0.008883233797050982,800.0,0.9,400.0
0.8993771619357595,0.010521678762112883,1200.0,0.9,600.0
0.9355355006445321,0.013236585423572186,1600.0,0.9,800.0
0.9274322852106652,0.018947865121353567,2000.0,0.9,1000.0
0.782834193384735,0.008015854360893353,400.0,0.91,200.0
0.8234782929924208,0.008772945554756686,800.0,0.91,400.0
0.8262010290342096,0.00984560646661141,1200.0,0.91,600.0
0.836028458856094,0.01151052336263316,1600.0,0.91,800.0
0.8165282550579068,0.016440835876376347,2000.0,0.91,1000.0
0.7358494626543168,0.007142327225184358,400.0,0.92,200.0
0.7423610508165227,0.007964223202239832,800.0,0.92,400.0
0.7597286488551063,0.009239207287855732,1200.0,0.92,600.0
0.763120771284552,0.01099410983963247,1600.0,0.92,800.0
0.7476435550586474,0.016125466786838173,2000.0,0.92,1000.0
0.6837496480810424,0.0067770748690934145,400.0,0.93,200.0
0.7031259236772033,0.007982274686705823,800.0,0.93,400.0
0.6842766767017793,0.00891722628361066,1200.0,0.93,600.0
0.672030490982082,0.010170512523419818,1600.0,0.93,800.0
0.6991242735582796,0.01346390998081412,2000.0,0.93,1000.0
0.6445673798157625,0.006831683546816582,400.0,0.94,200.0
0.6384587521404903,0.007250295696650731,800.0,0.94,400.0
0.6184592020507212,0.007731063123462937,1200.0,0.94,600.0
0.6097168874071254,0.009892104948788937,1600.0,0.94,800.0
0.6481401227884369,0.013769432241005956,2000.0,0.94,1000.0
0.5980016518698691,0.0062132012684268136,400.0,0.95,200.0
0.5891164738789283,0.00675937034969982,800.0,0.95,400.0
0.5843717612003568,0.007289343113264756,1200.0,0.95,600.0
0.5603699611021713,0.008554302673762223,1600.0,0.95,800.0
0.556653133229827,0.011336096997338554,2000.0,0.95,1000.0
0.5753445323054127,0.006327271060412397,400.0,0.96,200.0
0.543959691615544,0.006132833371653664,800.0,0.96,400.0
0.5168386860336988,0.007104497681529946,1200.0,0.96,600.0
0.5211690429196193,0.008244143541252875,1600.0,0.96,800.0
0.5161113301698917,0.010927806126636467,2000.0,0.96,1000.0
0.5212560968985691,0.00569576131516569,400.0,0.97,200.0
0.5013265148408409,0.005977876198060882,800.0,0.97,400.0
0.48370536454663615,0.006358593506889428,1200.0,0.97,600.0
0.4672778843899743,0.007519527491196468,1600.0,0.97,800.0
0.46071184660392084,0.011789456421324934,2000.0,0.97,1000.0
0.4920617313671764,0.005276777887108878,400.0,0.98,200.0
0.4641082038394517,0.0052389430178660336,800.0,0.98,400.0
0.44675744168441917,0.0059135028539805765,1200.0,0.98,600.0
0.4436472278648448,0.007091820390803476,1600.0,0.98,800.0
0.40985600027029023,0.008650572643977027,2000.0,0.98,1000.0
0.46058055037857354,0.005151730769087597,400.0,0.99,200.0
