MI,MI_err,L,p,L_A
0.034545652034562994,0.0006050639180616503,20.0,1.4,6.0
0.01727385710055777,0.00025552266930410335,30.0,1.4,10.0
0.012870320803100337,0.0004046034729866305,40.0,1.4,13.0
0.010121850537129213,0.00027921774782993573,50.0,1.4,16.0
0.0683620670014246,0.0012155444593999851,10.0,1.5,3.0
0.023688023229332777,0.0004710379343238335,20.0,1.5,6.0
0.01030547273946156,0.00015404038037698274,30.0,1.5,10.0
0.0071184663270014645,0.00022082343489115394,40.0,1.5,13.0
0.005324570938722802,0.00015140343360384046,50.0,1.5,16.0
0.05294766848880117,0.00110483520103603,10.0,1.6,3.0
0.0157808418457351,0.0003306739330537409,20.0,1.6,6.0
0.006117506345886474,0.00010113560460899521,30.0,1.6,10.0
0.0038328922480089255,0.00012809408321058714,40.0,1.6,13.0
0.0027434885615216544,7.743846479004322e-5,50.0,1.6,16.0
0.0390965842730149,0.0007738885617772271,10.0,1.7,3.0
0.010199127058600073,0.00021261886952597588,20.0,1.7,6.0
0.003532883054989722,6.302559277761475e-5,30.0,1.7,10.0
0.0022415398017978207,7.672537836729871e-5,40.0,1.7,13.0
0.0014727954472908333,4.7465128642493346e-5,50.0,1.7,16.0
0.030004348049194593,0.0006426607625091002,10.0,1.8,3.0
0.006108537366567193,0.0001259339422682916,20.0,1.8,6.0
0.002036869387485025,3.5290924196128226e-5,30.0,1.8,10.0
0.0012024727565540295,3.9868789464952685e-5,40.0,1.8,13.0
0.0007925377220041252,2.8880503265331923e-5,50.0,1.8,16.0
0.022876419499972257,0.0004897490043277243,10.0,1.9,3.0
0.004193201664774093,8.878895910181508e-5,20.0,1.9,6.0
0.0012125864013572624,2.2453462606574267e-5,30.0,1.9,10.0
0.0006407146670861597,2.326747195582923e-5,40.0,1.9,13.0
0.00043370490278504814,1.3758056199673983e-5,50.0,1.9,16.0
0.016823607637446735,0.0003966395295785923,10.0,2.0,3.0
0.0026674730801959185,5.956689387520878e-5,20.0,2.0,6.0
0.0007185781339236464,1.3766729482371815e-5,30.0,2.0,10.0
0.0003712048657015865,1.3897727653889113e-5,40.0,2.0,13.0
0.00021910945513412106,6.994312864530274e-6,50.0,2.0,16.0
