neg,neg_err,L,p,L_A
5.657362765038685,0.02877984564188588,100.0,0.0,50.0
11.047631889336643,0.038133797030195926,200.0,0.0,100.0
16.41368556188336,0.04203052082332181,300.0,0.0,150.0
21.648493013286696,0.05548115686920854,400.0,0.0,200.0
26.95830440729856,0.05875542009297276,500.0,0.0,250.0
32.04718734265884,0.07056219846071109,600.0,0.0,300.0
37.40620702251443,0.08399241008539851,700.0,0.0,350.0
42.86250136473598,0.09893830834929837,800.0,0.0,400.0
48.04708942680139,0.12787458505593954,900.0,0.0,450.0
53.41443663924891,0.17115109206088688,1000.0,0.0,500.0
5.280332666057836,0.02680175447119047,100.0,0.2,50.0
10.074409808188948,0.03757990601244273,200.0,0.2,100.0
14.888525719651051,0.0452665494421944,300.0,0.2,150.0
19.651905228781917,0.054160080866417944,400.0,0.2,200.0
24.414144947430838,0.05623497621926065,500.0,0.2,250.0
29.247437444039644,0.06277719045518079,600.0,0.2,300.0
34.066809050007315,0.07601916284066974,700.0,0.2,350.0
38.90487007285031,0.0898928991964996,800.0,0.2,400.0
43.56006122442459,0.07584975105671252,900.0,0.2,450.0
48.66546143812892,0.20091455471930722,1000.0,0.2,500.0
4.0207600951621645,0.023123939567601635,100.0,0.4,50.0
7.394488584131274,0.02684625395224392,200.0,0.4,100.0
10.611802565660216,0.03541521009043482,300.0,0.4,150.0
13.851585571700626,0.04953303790854212,400.0,0.4,200.0
17.015893848826945,0.05349955264328802,500.0,0.4,250.0
20.126689516168014,0.06064533722523435,600.0,0.4,300.0
23.21239416707858,0.06731155123804224,700.0,0.4,350.0
26.404449014570773,0.08825195664886588,800.0,0.4,400.0
29.278677307036777,0.10107256541660417,900.0,0.4,450.0
32.75215493390774,0.1740748858210442,1000.0,0.4,500.0
2.396989653126566,0.023912162000708132,100.0,0.6,50.0
3.82908766251643,0.03458385445866453,200.0,0.6,100.0
5.165049326630049,0.04362409543008606,300.0,0.6,150.0
6.2717147354385805,0.05281554036595375,400.0,0.6,200.0
7.369657849457021,0.07700034159050688,500.0,0.6,250.0
8.613380458735442,0.07754599074493973,600.0,0.6,300.0
9.579331790272812,0.09572826368356606,700.0,0.6,350.0
10.538891492230324,0.16373083723252146,800.0,0.6,400.0
11.614482004424001,0.186922180540118,900.0,0.6,450.0
12.223103408769957,0.37365159957007177,1000.0,0.6,500.0
1.1081555953478512,0.01758996877689541,100.0,0.8,50.0
