neg,neg_err,L,p,L_A
0.27073578494231376,0.003466511914161388,400.0,1.06,200.0
0.23831805799275757,0.0033162686797370547,800.0,1.06,400.0
0.2174320647568025,0.0034955603809280716,1200.0,1.06,600.0
0.21025957579383828,0.003889405609680467,1600.0,1.06,800.0
0.20132331386717492,0.0053690220457304075,2000.0,1.06,1000.0
0.25240811665106344,0.003366847886167312,400.0,1.07,200.0
0.22968447959659877,0.003322948853461575,800.0,1.07,400.0
0.20513845359338886,0.003365625258691054,1200.0,1.07,600.0
0.20000848121653506,0.0038188200786285556,1600.0,1.07,800.0
0.1852632402854752,0.004881396087413248,2000.0,1.07,1000.0
0.2379069266834098,0.0032620162640435617,400.0,1.08,200.0
0.21257991758932257,0.003182664338923761,800.0,1.08,400.0
0.19511861159100635,0.0032941754484611513,1200.0,1.08,600.0
0.18764240404942853,0.0036639858502568283,1600.0,1.08,800.0
0.18075249019726503,0.005349622875560407,2000.0,1.08,1000.0
0.22825537936779572,0.0031928450538840514,400.0,1.09,200.0
0.20104296925414086,0.0029437803043795155,800.0,1.09,400.0
0.17949347230546062,0.0029415756976694397,1200.0,1.09,600.0
0.1740387277832452,0.003413720093068749,1600.0,1.09,800.0
0.16041994140598803,0.004663926493655217,2000.0,1.09,1000.0
0.20752902349568078,0.0028622961749929774,400.0,1.1,200.0
0.18672792235880484,0.002759478321780088,800.0,1.1,400.0
0.17153119911392933,0.0030115733745594243,1200.0,1.1,600.0
0.16110313858104364,0.003114659627882733,1600.0,1.1,800.0
0.14353625135017753,0.004195510564479079,2000.0,1.1,1000.0
