MI,MI_err,L,p,L_A
0.47754452108340306,0.03558071070554774,30.0,1.1,15.0
0.4993541036683874,0.0347008689345944,40.0,1.1,20.0
0.4602653222047662,0.026924412074529114,50.0,1.1,25.0
0.403501457928334,0.06928044593510474,10.0,1.2,5.0
0.38809421797739063,0.04507783474274177,20.0,1.2,10.0
0.37760571058144937,0.032792141087783264,30.0,1.2,15.0
0.36879018092831706,0.028669239363265903,40.0,1.2,20.0
0.35211695260014275,0.02214491394527563,50.0,1.2,25.0
0.33988770201126434,0.06201500704964189,10.0,1.3,5.0
0.31960000370105557,0.04002826330688015,20.0,1.3,10.0
0.2959529868279561,0.02986791837593744,30.0,1.3,15.0
0.27422535278440135,0.02303425173050196,40.0,1.3,20.0
0.2751475064132823,0.019934391866068178,50.0,1.3,25.0
0.30882913778134247,0.06368652851291524,10.0,1.4,5.0
0.2570137360142227,0.03765651054046356,20.0,1.4,10.0
0.22361439368035052,0.024833332262038127,30.0,1.4,15.0
0.2077767456808801,0.021111664621048815,40.0,1.4,20.0
0.19462984348238263,0.014917442440196969,50.0,1.4,25.0
0.24880679639772788,0.057363579084726564,10.0,1.5,5.0
0.20762419195264484,0.03337330177562921,20.0,1.5,10.0
0.1830534164082418,0.023992151506219684,30.0,1.5,15.0
0.16611953638526863,0.01744311494000799,40.0,1.5,20.0
0.15242960414488332,0.015752433165215494,50.0,1.5,25.0
0.22228612884073676,0.05728803190987829,10.0,1.6,5.0
0.1685999442765541,0.031431559903508724,20.0,1.6,10.0
0.14568033153649523,0.020359110425433112,30.0,1.6,15.0
0.12769756573031332,0.01317160934276867,40.0,1.6,20.0
0.11431584351291507,0.013813496007764875,50.0,1.6,25.0
0.19214484062547488,0.05513485564955353,10.0,1.7,5.0
0.13516410990457653,0.02509742676014051,20.0,1.7,10.0
0.11725730870685779,0.017655976700679258,30.0,1.7,15.0
0.10316935468081927,0.01308833364171899,40.0,1.7,20.0
0.09487276152949502,0.011871501223375948,50.0,1.7,25.0
0.15513519131356282,0.04632022048305645,10.0,1.8,5.0
0.11303797163322064,0.022369943618234193,20.0,1.8,10.0
0.09080457263488727,0.015484243383982844,30.0,1.8,15.0
0.09111053054454056,0.014051185206613767,40.0,1.8,20.0
0.07318965027960195,0.009680036798744103,50.0,1.8,25.0
0.13527002310212458,0.043260197043278846,10.0,1.9,5.0
0.09857345513247691,0.02240788658483762,20.0,1.9,10.0
0.07787829871805457,0.015960796608138858,30.0,1.9,15.0
0.06902383772646407,0.01446764510481007,40.0,1.9,20.0
0.06194972510094513,0.00885903400167085,50.0,1.9,25.0
0.11633865146621428,0.03839429665255174,10.0,2.0,5.0
0.08178137313381305,0.02093152552670191,20.0,2.0,10.0
0.06288554887459166,0.011838642147147398,30.0,2.0,15.0
0.06059065011207457,0.010394740628219844,40.0,2.0,20.0
0.046146254484889244,0.0071763682210536205,50.0,2.0,25.0
