MI,MI_err,L,p,p_0,L_A,t,runs
1.7220399803001656,0.03675750874522848,10.0,0.0,0.0,5.0,45.0,100.0
1.7222488945663486,0.036759187497545705,10.0,0.0,0.0,5.0,46.0,100.0
1.7224414107322081,0.03676057215202569,10.0,0.0,0.0,5.0,47.0,100.0
1.7226096421176254,0.036760932077845705,10.0,0.0,0.0,5.0,48.0,100.0
1.7227775531536031,0.03676281401929428,10.0,0.0,0.0,5.0,49.0,100.0
1.722927930405674,0.03676426995072127,10.0,0.0,0.0,5.0,50.0,100.0
2.0793828216955337,0.03706671617054756,10.0,0.2,0.0,5.0,0.0,100.0
0.9623619543217257,0.01972732264800533,10.0,0.2,0.0,5.0,1.0,100.0
1.0366695915668145,0.02239719402042077,10.0,0.2,0.0,5.0,2.0,100.0
1.1729628118067155,0.02658353958282647,10.0,0.2,0.0,5.0,3.0,100.0
1.2798382992389241,0.029514948123103596,10.0,0.2,0.0,5.0,4.0,100.0
1.356595148973484,0.03143457538885848,10.0,0.2,0.0,5.0,5.0,100.0
1.4118420815150976,0.0327380624487888,10.0,0.2,0.0,5.0,6.0,100.0
1.4524170513172276,0.0336653812441348,10.0,0.2,0.0,5.0,7.0,100.0
1.4828812150584412,0.0343495199337883,10.0,0.2,0.0,5.0,8.0,100.0
1.5062277882922188,0.03486721451585822,10.0,0.2,0.0,5.0,9.0,100.0
1.5244507352370906,0.03526549379386628,10.0,0.2,0.0,5.0,10.0,100.0
1.5389156860106896,0.03557595414254679,10.0,0.2,0.0,5.0,11.0,100.0
1.5505753665870865,0.03582060566226707,10.0,0.2,0.0,5.0,12.0,100.0
1.560105943243928,0.036015347551428434,10.0,0.2,0.0,5.0,13.0,100.0
1.5679975463015838,0.03617195829877473,10.0,0.2,0.0,5.0,14.0,100.0
1.5746114114166563,0.036299454007565034,10.0,0.2,0.0,5.0,15.0,100.0
1.5802116107151392,0.03640418999309928,10.0,0.2,0.0,5.0,16.0,100.0
1.5850016786610057,0.03649144682330414,10.0,0.2,0.0,5.0,17.0,100.0
1.5891345790111888,0.036564952698887196,10.0,0.2,0.0,5.0,18.0,100.0
1.5927269569746605,0.036627656062845904,10.0,0.2,0.0,5.0,19.0,100.0
