std,mean,L,p
0.1327496200529974,1.0659086467517132,1000.0,0.4
0.1406413641731212,1.0514954768211147,1000.0,0.4
0.13835544428942995,1.0685677157095337,1000.0,0.4
0.14373353353674623,1.0500563129190505,1000.0,0.4
0.15424848177701825,1.0517478965999456,1000.0,0.4
0.14539898053390027,1.0219095435020582,1000.0,0.4
0.1495022904149903,1.058935926599454,1000.0,0.4
0.14210880720314878,1.0437432101193966,1000.0,0.4
0.1497356873617865,1.018374844456103,1000.0,0.4
0.1577975631959108,1.0552587379791205,1000.0,0.4
0.1531226390825902,1.0620909932954583,1000.0,0.4
0.13559778585290902,1.0630625676781096,1000.0,0.4
0.1423238977853962,1.0625399185161672,1000.0,0.4
0.15031768541024246,1.0304636283514121,1000.0,0.4
0.13587303176196955,1.0603974005324317,1000.0,0.4
0.14266916294626128,1.0606774251514648,1000.0,0.4
0.13797090882112173,1.043559631422331,1000.0,0.4
0.13786220326767093,1.0521462400387587,1000.0,0.4
0.14019174002553914,1.0411538402415734,1000.0,0.4
0.14690249788545717,1.00255918936958,1000.0,0.4
0.139411044371054,1.0514369106721986,1000.0,0.4
0.14680033926009953,1.0489642504175516,1000.0,0.4
0.13907029925824418,1.0420463473979167,1000.0,0.4
0.13750472167766342,1.0297942514686793,1000.0,0.4
0.12932522465828575,1.0571713585429217,1000.0,0.4
0.1421851188779086,1.050192931078575,1000.0,0.4
0.14517479380884632,1.0482682798083711,1000.0,0.4
0.1447713717272731,1.0258544786960129,1000.0,0.4
0.14594690197103277,1.053880647989193,1000.0,0.4
0.14180467143614076,1.0333449416158635,1000.0,0.4
0.1325421463641194,1.0619740627738836,1000.0,0.4
0.1411981097052672,1.045240556555373,1000.0,0.4
0.13180555622578521,1.045093852345241,1000.0,0.4
0.13889882721278404,1.0482521398652431,1000.0,0.4
0.13344718244513548,1.0317815153438157,1000.0,0.4
0.1497094329791934,1.0393422024012064,1000.0,0.4
0.1501058859454732,1.0378703602186923,1000.0,0.4
0.14323521296553127,1.031757131835471,1000.0,0.4
0.14099356627599874,1.0630673963357298,1000.0,0.4
0.14742742677728707,1.0531175485501587,1000.0,0.4
