imb,imb_err,L,p,t
1.0,0.0,500.0,0.0,0.0
0.949392457513877,6.40114661951281e-5,500.0,0.0,0.1
0.899063803461277,0.00011778258904288689,500.0,0.0,0.2
0.8493947314645607,0.0001423345471874864,500.0,0.0,0.3
0.8005222225761983,0.00021065666434485548,500.0,0.0,0.4
0.7524722190091018,0.00020571392017805596,500.0,0.0,0.5
0.705447200447313,0.00027104602936338455,500.0,0.0,0.6
0.6605371036895129,0.00028443961710652446,500.0,0.0,0.7
0.616949603629621,0.000324324905551534,500.0,0.0,0.8
0.5747227706335147,0.0003688465000242176,500.0,0.0,0.9
0.5352308973701355,0.0003732888357618188,500.0,0.0,1.0
0.4957865751594303,0.0003730525530261841,500.0,0.0,1.1
0.4590256241351839,0.0003350048113378231,500.0,0.0,1.2
0.425729380850718,0.00036663956015738904,500.0,0.0,1.3
0.3927158228396539,0.00034502116648234927,500.0,0.0,1.4
0.36188768648650355,0.00031134330570611716,500.0,0.0,1.5
0.3325561923145578,0.00030533153119674235,500.0,0.0,1.6
0.3060609667941708,0.0003024184963996015,500.0,0.0,1.7
0.2810998773667876,0.00037518388341308554,500.0,0.0,1.8
0.2577928569036177,0.0003712409321934807,500.0,0.0,1.9
0.23620077460698335,0.00031066009974027,500.0,0.0,2.0
0.216077207233477,0.00032434501764533026,500.0,0.0,2.1
0.1973026870520237,0.00031822650440941556,500.0,0.0,2.2
0.18034341220674374,0.0003025382277830383,500.0,0.0,2.3
0.16462575281378528,0.00027183511547398666,500.0,0.0,2.4
0.14984347996645814,0.00028231575833550414,500.0,0.0,2.5
0.13709824266365284,0.0002600585751209285,500.0,0.0,2.6
0.12467891835665071,0.0002606548624163065,500.0,0.0,2.7
0.11331770571342929,0.00030783536554489525,500.0,0.0,2.8
0.10322144923297928,0.0002572369886757361,500.0,0.0,2.9
0.09290249113002451,0.0002828460674489518,500.0,0.0,3.0
0.08480803126999562,0.00025340469188239116,500.0,0.0,3.1
0.0769871194348016,0.0002937182614487121,500.0,0.0,3.2
0.06989862107957973,0.0002603815247886795,500.0,0.0,3.3
0.06378157184229512,0.000266535685481363,500.0,0.0,3.4
0.05785823171394874,0.0002724300333586955,500.0,0.0,3.5
0.05261155919501948,0.0002991736276472492,500.0,0.0,3.6
0.047620182436703955,0.00025364226143232533,500.0,0.0,3.7
0.04314217665624543,0.0002933603518726582,500.0,0.0,3.8
0.039304173994216526,0.0002581286230704055,500.0,0.0,3.9
0.03578508380996571,0.0002547612888112817,500.0,0.0,4.0
0.03201216454945925,0.0002535081651638751,500.0,0.0,4.1
0.029154424552996196,0.0002487015403438703,500.0,0.0,4.2
0.026729537760257896,0.0002641155335870191,500.0,0.0,4.3
0.023993322835839322,0.0002990189303753707,500.0,0.0,4.4
0.022160315272688656,0.0002553360375484058,500.0,0.0,4.5
0.01957464655470591,0.0002835683109915913,500.0,0.0,4.6
0.01749679682286966,0.0002781645427911475,500.0,0.0,4.7
0.016524361787168904,0.00023450121937429358,500.0,0.0,4.8
0.015279124260296399,0.0003053911171685205,500.0,0.0,4.9
0.012929868778253108,0.00028370812359223787,500.0,0.0,5.0
0.011889772911871009,0.0002733797030487567,500.0,0.0,5.1
0.010494193693085479,0.00029520729180529945,500.0,0.0,5.2
0.009748318080446357,0.0002713656394743133,500.0,0.0,5.3
0.00881335396048127,0.00026665375183141234,500.0,0.0,5.4
0.007921572122200363,0.0003078188242902864,500.0,0.0,5.5
0.007412257524943305,0.0002904945263680419,500.0,0.0,5.6
0.007040728069353377,0.00029016452517719707,500.0,0.0,5.7
0.006065445344735611,0.0002805384616419624,500.0,0.0,5.8
0.005393537891581103,0.00023612188111856854,500.0,0.0,5.9
0.005059537740169628,0.0002570651325583144,500.0,0.0,6.0
0.004522128050749178,0.0002585949918324518,500.0,0.0,6.1
0.004120020136280166,0.0002602846878846271,500.0,0.0,6.2
0.0035895245095719382,0.00021948274673855013,500.0,0.0,6.3
0.0033513870539543674,0.00024479241309170377,500.0,0.0,6.4
0.0032716572676165074,0.0002245607939960486,500.0,0.0,6.5
0.0034491183969062337,0.00024114264848056841,500.0,0.0,6.6
0.0030335085293016345,0.00021897167702966715,500.0,0.0,6.7
0.002906934674084058,0.00019957527824856542,500.0,0.0,6.8
0.0024050337727884873,0.00018781570426699455,500.0,0.0,6.9
0.002435540600645882,0.00020220799182775966,500.0,0.0,7.0
0.002699524288929443,0.0001837407654869334,500.0,0.0,7.1
0.0026704476029515557,0.0002019825677900214,500.0,0.0,7.2
0.0027306250851669516,0.00019792273924017272,500.0,0.0,7.3
0.0025652721714441357,0.0001687930665401042,500.0,0.0,7.4
0.002220670595918812,0.0001675330388233311,500.0,0.0,7.5
0.0022287227249816032,0.00017761191549652732,500.0,0.0,7.6
0.002387672395576781,0.00018855788000742555,500.0,0.0,7.7
0.002448675019440246,0.0001665899881556772,500.0,0.0,7.8
0.002281626891136782,0.0001691737817715941,500.0,0.0,7.9
0.0022266961348833413,0.00016287722146320776,500.0,0.0,8.0
0.002628508836307686,0.00017942622800338914,500.0,0.0,8.1
0.0025955452879653403,0.00020911687297226196,500.0,0.0,8.2
0.00226104459749851,0.00018771028210267317,500.0,0.0,8.3
0.0020995995684574865,0.00014506025103040742,500.0,0.0,8.4
0.002413825267803785,0.00018865951587223936,500.0,0.0,8.5
0.002382085756658146,0.00016597802007096947,500.0,0.0,8.6
0.0023489652282315788,0.00016014493088118445,500.0,0.0,8.7
0.0025523218161094107,0.00017222396046163985,500.0,0.0,8.8
0.0026059729006140692,0.00020921618641630188,500.0,0.0,8.9
0.0021530193653884894,0.00016648759352761377,500.0,0.0,9.0
0.002215651244418573,0.0001615132233491399,500.0,0.0,9.1
0.0020908316065772507,0.00017174768730191247,500.0,0.0,9.2
0.00266676637735898,0.0002073784926655272,500.0,0.0,9.3
0.0019569007982948774,0.000161857376811571,500.0,0.0,9.4
0.002580287934830113,0.00019583494268784232,500.0,0.0,9.5
0.002659601797632757,0.00016299692854172422,500.0,0.0,9.6
0.0021493378524495518,0.00014715790098529782,500.0,0.0,9.7
0.0019313820022988546,0.00015196288518199493,500.0,0.0,9.8
0.0023714203567893597,0.00019824204180099187,500.0,0.0,9.9
0.002155246385455366,0.00017342492139573509,500.0,0.0,10.0
1.0,0.0,500.0,4.0,0.0
0.9793018019966142,0.0004022774920844628,500.0,4.0,0.1
0.956389866172355,0.0008555277493308238,500.0,4.0,0.2
0.9369080650332786,0.0014926025967231778,500.0,4.0,0.3
0.9080556571796837,0.001554353852698709,500.0,4.0,0.4
0.8861275947769629,0.002179662764598327,500.0,4.0,0.5
0.8587911876592215,0.0025339018065055445,500.0,4.0,0.6
0.8378347021234863,0.002464521965079956,500.0,4.0,0.7
0.8077074677915607,0.003478249512644198,500.0,4.0,0.8
0.7751651573682061,0.003767724833404931,500.0,4.0,0.9
0.7375265944631794,0.004024365402153387,500.0,4.0,1.0
0.7230646257609041,0.0042561315185410805,500.0,4.0,1.1
0.687733063162375,0.004622972898243758,500.0,4.0,1.2
0.6645477598378831,0.004416216573002585,500.0,4.0,1.3
0.6330448052312501,0.004636989833254121,500.0,4.0,1.4
0.5928136913892158,0.005489801238751936,500.0,4.0,1.5
0.5725239022088313,0.005723653050380907,500.0,4.0,1.6
0.5419832912813105,0.006105148140004948,500.0,4.0,1.7
0.5064271661772536,0.005843771437802147,500.0,4.0,1.8
0.4741026833869783,0.006131060513928068,500.0,4.0,1.9
0.44688340109607194,0.005861517603445027,500.0,4.0,2.0
0.41070185531633446,0.005938290942853332,500.0,4.0,2.1
0.3882673068517336,0.006108194177060107,500.0,4.0,2.2
0.3572911865786887,0.005867756171929077,500.0,4.0,2.3
0.337082261007456,0.005731779545905057,500.0,4.0,2.4
0.30752082985204915,0.005938688189423544,500.0,4.0,2.5
0.2976559820176255,0.006587563578782515,500.0,4.0,2.6
0.272833515582228,0.006165182140408789,500.0,4.0,2.7
0.2672559220045641,0.006453449714482601,500.0,4.0,2.8
0.22873758666119884,0.006092572436821245,500.0,4.0,2.9
0.22166292515202465,0.004872781452300374,500.0,4.0,3.0
0.1888047520168208,0.0064988661662998175,500.0,4.0,3.1
0.1854539095504336,0.005691991027592238,500.0,4.0,3.2
0.1693894162309309,0.005130160228424723,500.0,4.0,3.3
0.14950221549876724,0.0059239379703676185,500.0,4.0,3.4
0.1516482594261501,0.0058886269459745245,500.0,4.0,3.5
0.1311589641707159,0.005632508361750018,500.0,4.0,3.6
0.12874599729330977,0.006334868440202544,500.0,4.0,3.7
0.11193940149895405,0.005918522140837267,500.0,4.0,3.8
0.09537295087629893,0.005330663462072753,500.0,4.0,3.9
0.08745083551614272,0.005149835071827544,500.0,4.0,4.0
0.08653701229984063,0.004635457245482906,500.0,4.0,4.1
0.08572404462767197,0.005258172808335508,500.0,4.0,4.2
0.07529317027731129,0.005211972737529153,500.0,4.0,4.3
0.07357584365708292,0.004388169678163299,500.0,4.0,4.4
0.05986867778586796,0.004720484735645734,500.0,4.0,4.5
0.06055276617907225,0.004211644139865445,500.0,4.0,4.6
0.05649790778656899,0.004245189663223589,500.0,4.0,4.7
0.054495571172972455,0.004674833226933917,500.0,4.0,4.8
0.06139723570957242,0.004265889893623727,500.0,4.0,4.9
0.05396772802012206,0.003725397172158315,500.0,4.0,5.0
0.05893209574455389,0.004179911769383021,500.0,4.0,5.1
0.045231930703633426,0.0036209601520852753,500.0,4.0,5.2
0.052082281678824574,0.003965717621991652,500.0,4.0,5.3
0.046848424626069966,0.0038340776601230877,500.0,4.0,5.4
0.05118215982073757,0.004314615590699968,500.0,4.0,5.5
0.04879564663383931,0.0035159619523726466,500.0,4.0,5.6
0.05412852970312941,0.00399621452986269,500.0,4.0,5.7
0.052857820354996005,0.0044159655393884315,500.0,4.0,5.8
0.04204014290432541,0.003308906429205305,500.0,4.0,5.9
0.050986424119763146,0.003617100749915031,500.0,4.0,6.0
0.05423307626595661,0.0033631393198076294,500.0,4.0,6.1
0.044595217852637196,0.0034859266088156557,500.0,4.0,6.2
0.05127681742497654,0.003559207780957474,500.0,4.0,6.3
0.044989030325373686,0.003279417735254562,500.0,4.0,6.4
0.05260652730030664,0.0035493808907891347,500.0,4.0,6.5
0.05000168751957844,0.003728703508748747,500.0,4.0,6.6
0.055619335409768225,0.004049280288247634,500.0,4.0,6.7
0.045362601217783724,0.0036680540224214866,500.0,4.0,6.8
0.05257111923259613,0.004079578355753451,500.0,4.0,6.9
0.054048047036568764,0.003855188182401933,500.0,4.0,7.0
0.054145355745345965,0.00422134553623805,500.0,4.0,7.1
0.04832777570910267,0.003870799199405964,500.0,4.0,7.2
0.05581696703439353,0.003868106601821274,500.0,4.0,7.3
0.05126280837962916,0.0036687320966961013,500.0,4.0,7.4
0.050960777196707774,0.0033681529805834804,500.0,4.0,7.5
0.05091796744364497,0.00366396504180113,500.0,4.0,7.6
0.05471587885699258,0.004264015532409825,500.0,4.0,7.7
0.04659371872684783,0.003853685307391482,500.0,4.0,7.8
0.049626806912277166,0.0033600890202390593,500.0,4.0,7.9
0.04948086067566671,0.004396188281597169,500.0,4.0,8.0
0.042303914192654855,0.0036323238319053057,500.0,4.0,8.1
0.0503803046478289,0.003771711831092426,500.0,4.0,8.2
0.05347801111940105,0.0037532281724967547,500.0,4.0,8.3
0.04975463926531193,0.004118039946415829,500.0,4.0,8.4
0.04775196743486175,0.004177360686600164,500.0,4.0,8.5
0.05309066696301775,0.0035290557763589976,500.0,4.0,8.6
0.04685493504824281,0.003386425504723721,500.0,4.0,8.7
0.052575890772302486,0.0037581672272716552,500.0,4.0,8.8
0.05123234090576112,0.0037646154721385217,500.0,4.0,8.9
0.05042704283887368,0.0035777700910198896,500.0,4.0,9.0
0.047215587467184114,0.003813405728920684,500.0,4.0,9.1
0.04470741426533123,0.0033776536029608848,500.0,4.0,9.2
0.050823742924560725,0.003823626819068562,500.0,4.0,9.3
0.0491075378172227,0.0036978709783572388,500.0,4.0,9.4
0.04535052625401076,0.0036639652649706226,500.0,4.0,9.5
0.053635745538319145,0.003966442289744042,500.0,4.0,9.6
0.04616424135619813,0.004037478083757975,500.0,4.0,9.7
0.04911493012595722,0.003932889378486074,500.0,4.0,9.8
0.0501734631494978,0.003994549077633266,500.0,4.0,9.9
0.04762647663719388,0.004048789794337005,500.0,4.0,10.0
