MI,MI_err,L,p,L_A
0.2903327443951538,0.002332342046347606,20.0,0.825,6.0
0.25389725000254687,0.0019997897757724355,30.0,0.825,10.0
0.2630170413031861,0.0038911460698517735,40.0,0.825,13.0
0.2650786159223407,0.003870513436373521,50.0,0.825,16.0
0.30543730851981205,0.0032204878185138615,10.0,0.85,3.0
0.26897216850593375,0.0022838911396083424,20.0,0.85,6.0
0.22755241165678836,0.0018176941336644635,30.0,0.85,10.0
0.22852106806526212,0.0036697665711204006,40.0,0.85,13.0
0.23578504247877333,0.003965309295306097,50.0,0.85,16.0
0.29167836315011453,0.0030024453914390707,10.0,0.875,3.0
0.24950840449365846,0.0020996928008868905,20.0,0.875,6.0
0.20824050671009825,0.0017360420759594164,30.0,0.875,10.0
0.2103924880436836,0.003369547009974489,40.0,0.875,13.0
0.20327885225825343,0.00372064365817304,50.0,0.875,16.0
0.2721629751561671,0.0030077914218134766,10.0,0.9,3.0
0.23015489947896095,0.001948112930172996,20.0,0.9,6.0
0.18576843555068528,0.0015460880434334124,30.0,0.9,10.0
0.1813712938720922,0.0031984044874251187,40.0,0.9,13.0
0.17638876199902506,0.002878705094514173,50.0,0.9,16.0
0.2610187024462812,0.002754898743923323,10.0,0.925,3.0
0.21274042783750502,0.0018680999171980122,20.0,0.925,6.0
0.16786824861151597,0.0014446796680092394,30.0,0.925,10.0
0.16740638632452132,0.0028559916706406493,40.0,0.925,13.0
0.15378692136851047,0.00272360485549266,50.0,0.925,16.0
0.25002816911248055,0.0027647176945028917,10.0,0.95,3.0
0.19490228489177078,0.001758209185558905,20.0,0.95,6.0
0.14972825571257048,0.0013210334480255608,30.0,0.95,10.0
0.14387148033027836,0.002559346878915852,40.0,0.95,13.0
0.13839891447785574,0.002548693736120643,50.0,0.95,16.0
0.23880630667689756,0.0027093518472056616,10.0,0.975,3.0
0.17661619711043022,0.001663265096326649,20.0,0.975,6.0
0.13485226119246435,0.0012265236596820828,30.0,0.975,10.0
0.1284415736379595,0.0021568809414022265,40.0,0.975,13.0
0.12174995582982803,0.0020560735818847767,50.0,0.975,16.0
0.231407628219621,0.0026559681664262225,10.0,1.0,3.0
0.1631157680865455,0.0014835064874187467,20.0,1.0,6.0
0.11801034786834728,0.0011175728681460748,30.0,1.0,10.0
0.11489909754885419,0.0020560931400591138,40.0,1.0,13.0
0.10522295267760921,0.0019145791545746073,50.0,1.0,16.0
